Observation,Day,Steps,Hours
1,Thu,9178,96
2,Fri,694,120
3,Sat,12503,144
4,Mon,7802,24
5,Tue,7913,48
6,Wed,6135,72
7,Thu,7022,96
8,Fri,NA,120
9,Sun,11751,168
10,Mon,6861,24
11,Tue,6797,48
12,Wed,6805,72
13,Thu,6567,96
14,Fri,6476,120
15,Sat,4949,144
16,Sun,NA,168
17,Mon,11568,24
18,Tue,6230,48
19,Wed,5853,72
20,Thu,8719,96
21,Sat,NA,144
22,Sun,NA,168
23,Mon,NA,24
24,Tue,NA,48
25,Wed,10431,72
26,Fri,10172,120
27,Sat,7615,144
28,Sun,5269,168
29,Mon,8307,24
30,Tue,10130,48
31,Wed,16044,72
32,Thu,7201,96
33,Fri,10868,120
34,Sat,NA,144
35,Sun,8691,168
36,Tue,6590,48
37,Wed,2680,72
38,Thu,7778,96
39,Fri,NA,120
40,Mon,4067,144
41,Tue,6281,48
42,Wed,7525,72
43,Thu,12383,96
44,Fri,9038,120
45,Sat,9857,144
46,Sun,9903,168
47,Mon,7229,24
48,Tue,NA,48
49,Wed,NA,72
50,Thu,NA,96
51,Fri,NA,120
52,Sat,NA,144
53,Sun,11840,168
54,Mon,11539,24
55,Tue,9300,48
56,Wed,10000,72
57,Thu,10125,96
58,Fri,8859,120
59,Sat,13217,144
60,Sun,11840,168
61,Mon,10490,24
62,Tue,12000,48
63,Wed,7410,72
64,Thu,13665,96
65,Fri,12815,120
66,Sat,5898,144
67,Sun,12364,168
68,Mon,8811,24
69,Tue,11204,48
70,Wed,NA,72
71,Thu,7576,96
72,Fri,3522,120
73,Sat,14330,144
74,Mon,16051,24
75,Mon,NA,24
76,Tue,6081,48
77,Wed,11055,72
78,Thu,14026,96
79,Fri,14348,120
80,Sat,14840,144
81,Sun,NA,168
82,Mon,NA,24
83,Tue,NA,48
84,Wed,NA,72
85,Thu,NA,96
86,Mon,13442,24
87,Tue,13034,48
88,Wed,10089,72
